book,total_words,construct_count,percent,unique_regen,total_regen,unique_rectum,total_rectum,NoGCPh,NoGRec,NoGReg,Quantmid,Quantpre,Affpron,Affconj,Affprep,RecpartPas,Recpartpf,Recpartpm,Recpartsf,Recpartsm,RegpartPas,Regpartpf,Regpm,Regsf,Regsm
Deut,27624,802,0.029032725166521865,258,802,315,892,0.0001810020272227049,0.003764842166232262,0.00021720243266724586,0.0005792064871126556,0.0024978279756733275,0.006443672169128294,0.003402838111786852,0.00923110338835795,7.240081088908195e-05,0.0,7.240081088908195e-05,0.0001448016217781639,0.0001810020272227049,0.0002896032435563278,0.0,0.0004344048653344917,0.0003620040544454098,0.0006154068925571966
Prov,419,752,1.7947494033412887,311,752,275,773,0.0,0.11933174224343675,0.0,0.014319809069212411,0.03341288782816229,0.20047732696897375,0.3818615751789976,0.41766109785202865,0.00954653937947494,0.002386634844868735,0.011933174224343675,0.00477326968973747,0.016706443914081145,0.016706443914081145,0.0,0.06205250596658711,0.007159904534606206,0.03341288782816229
Ps,14982,1215,0.08109731678013617,468,1215,419,1275,0.0007342143906020558,0.010746228807902816,0.0013349352556401015,0.00040048057669203043,0.00420504605526632,0.020624749699639566,0.007942864771058603,0.02776665331731411,0.00026698705112802027,0.00026698705112802027,0.0012681884928580963,0.0,0.0006674676278200508,0.0005339741022560405,0.0,0.006140702175944467,0.00013349352556401014,0.001735415832332132
4Q417,758,36,0.047493403693931395,29,36,25,36,0.0013192612137203166,0.00395778364116095,0.0013192612137203166,0.0,0.0013192612137203166,0.011873350923482849,0.011873350923482849,0.017150395778364115,0.00395778364116095,0.0013192612137203166,0.0,0.0,0.005277044854881266,0.002638522427440633,0.0013192612137203166,0.002638522427440633,0.0,0.0
4Q418,2625,136,0.05180952380952381,81,136,67,137,0.001142857142857143,0.0007619047619047619,0.001142857142857143,0.00038095238095238096,0.008,0.0064761904761904765,0.01180952380952381,0.021714285714285714,0.0034285714285714284,0.0,0.0,0.00038095238095238096,0.0038095238095238095,0.00038095238095238096,0.0,0.0034285714285714284,0.0,0.0
4Q423,343,19,0.05539358600583091,15,19,19,20,0.0,0.0,0.0,0.0029154518950437317,0.0029154518950437317,0.01749271137026239,0.008746355685131196,0.011661807580174927,0.0,0.0,0.0,0.0029154518950437317,0.0,0.0,0.0,0.0,0.0,0.0058309037900874635
1Q26,49,2,0.04081632653061224,1,2,1,2,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0
1QHa,7196,701,0.09741523068371317,277,701,261,732,0.0005558643690939411,0.0011117287381878821,0.0005558643690939411,0.0004168982768204558,0.007504168982768205,0.020705947748749304,0.02584769316286826,0.041550861589772094,0.0012506948304613673,0.0,0.0011117287381878821,0.0004168982768204558,0.0012506948304613673,0.0011117287381878821,0.00027793218454697053,0.005697609783212896,0.00013896609227348526,0.0008337965536409116
4Q418a,124,1,0.008064516129032258,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4Q416,797,38,0.04767879548306148,30,38,25,38,0.0012547051442910915,0.0012547051442910915,0.0012547051442910915,0.0012547051442910915,0.00878293601003764,0.01756587202007528,0.015056461731493099,0.013801756587202008,0.006273525721455458,0.0,0.0,0.0,0.0075282308657465494,0.0,0.0,0.0,0.0,0.0
4Q418b,18,1,0.05555555555555555,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4Q415,263,8,0.030418250950570342,7,8,6,8,0.0,0.0,0.0,0.0,0.0,0.0038022813688212928,0.0,0.015209125475285171,0.0038022813688212928,0.0,0.0,0.0,0.0038022813688212928,0.0,0.0,0.0,0.0,0.0
1QS,3721,516,0.13867239989250202,208,516,184,578,0.0005374899220639613,0.007256113947863478,0.0005374899220639613,0.002149959688255845,0.016930932545014783,0.022574576726686373,0.02848696586938995,0.07256113947863478,0.0005374899220639613,0.0,0.0010749798441279225,0.0,0.0008062348830959419,0.0002687449610319806,0.0,0.004568664337543671,0.0,0.0005374899220639613
4Q418c,20,2,0.1,2,2,2,2,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1Q35,24,3,0.125,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0
1QSa,532,64,0.12030075187969924,31,64,38,75,0.0,0.0,0.0,0.005639097744360902,0.015037593984962405,0.009398496240601503,0.020676691729323307,0.043233082706766915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
