scroll,vectorizer,dasgupta,dasgupta_p_value,ari,ari_p_value,jaccard,jaccard_p_value,normalized_results
"['1QS', '1QSa']",yonatanlou/alephbert-base-finetuned-DSS-maskedLM,0.626972868053117,0.0,0.23666011501783504,0.0,0.20867567806343318,0.000194,0.674123843114046
"['1QS', '1QSa']",imvladikon/alephbertgimmel-base-512,0.6898202715103414,0.0,0.3941267387944359,0.0,0.11682365253793825,0.00475,0.6610072637390614
"['1QS', '1QSa']",yonatanlou/BEREL-finetuned-DSS-maskedLM,0.7174909811022248,0.0,0.39028207183480285,0.0,0.09833024118738405,6.7e-05,0.6520836471088179
"['1QS', '1QSa']",tfidf,0.768369382609881,0.0,0.5562881884918018,0.0,0.061224489795918366,0.459476,0.6232913391436553
"['1QS', '1QSa']",dicta-il/BEREL,0.7017081276839804,0.0,0.639361154044307,0.0,0.0,0.030674,0.6121616242038216
"['1QS', '1QSa']",yonatanlou/dictabert-finetuned-DSS-maskedLM,0.6136649608007156,0.0,0.3012067074126312,0.0,0.0575614861329147,0.0,0.4555587449268443
"['1QS', '1QSa']",onlplab/alephbert-base,0.681908558357237,0.0,0.29104062326099056,0.0,0.004296455424274973,0.0,0.4209652717670986
"['1QS', '1QSa']",trigram,0.6325719265922372,0.0,0.34528403668202,0.0,0.10551948051948051,0.479933,0.40208491883377256
"['1QS', '1QSa']",dicta-il/dictabert,0.5905789875488365,0.0,0.3569098982278282,0.0,0.008928571428571428,0.000694,0.38808227815023066
"['1QS', '1QSa']",starr,0.3606930043411969,0.0,0.0009570174343610868,1.9e-05,0.048282727725236445,0.948371,0.0
['1QM'],yonatanlou/BEREL-finetuned-DSS-maskedLM,0.6111481174639444,0.0,0.02627882276355912,0.000287,0.5306122448979591,0.000724,0.9118579572201129
['1QM'],onlplab/alephbert-base,0.6363351589135953,0.0,0.02627882276355912,0.0,0.3831736776343191,5.8e-05,0.8532555879494655
['1QM'],yonatanlou/alephbert-base-finetuned-DSS-maskedLM,0.6340240617976862,0.0,0.02627882276355912,0.0,0.3831736776343191,2.9e-05,0.852044959093725
['1QM'],dicta-il/dictabert,0.6336323504221085,0.0,0.02627882276355912,0.0,0.3831736776343191,0.00012,0.8518397677622437
['1QM'],imvladikon/alephbertgimmel-base-512,0.6253672403974175,0.0,0.02627882276355912,0.0,0.3831736776343191,2e-05,0.8475102306679857
['1QM'],yonatanlou/dictabert-finetuned-DSS-maskedLM,0.6243096196833575,0.0,0.02627882276355912,5e-05,0.3831736776343191,0.000246,0.8469562140729857
['1QM'],starr,0.29268676911921443,0.008654,0.020502306509482315,1e-06,0.6845238095238094,0.0,0.8008566485118545
['1QM'],tfidf,0.5965372831548934,0.0,-0.0743801652892562,0.0,0.14285714285714285,0.0,0.3820511114461249
['1QM'],trigram,0.5881154885799713,0.0,-0.07318853805438949,0.0,0.12244897959183673,0.0,0.3716476961645268
['1QM'],dicta-il/BEREL,0.595558004715949,0.0,-0.07010741186433124,0.066437,0.22448979591836735,0.272214,0.014149269421369062
['1QHa'],dicta-il/dictabert,0.637153723264519,0.0,0.3782664616635352,0.0,0.08550730178148176,0.0,0.9062471175765242
['1QHa'],dicta-il/BEREL,0.5936844578857075,0.0,0.35463524600369417,0.0,0.06478793136395485,0.000179,0.7649530342530394
['1QHa'],imvladikon/alephbertgimmel-base-512,0.6120737091551317,0.0,0.2875724597497903,0.0,0.05691056910569105,0.000239,0.6978791391982128
['1QHa'],trigram,0.5690872823317814,0.0,0.20400977064365702,0.0,0.08282520325203252,0.0,0.6906443079839147
['1QHa'],tfidf,0.735307903896142,0.0,0.31654202989908736,0.0,0.017648468867981063,0.0,0.685828490722864
['1QHa'],yonatanlou/alephbert-base-finetuned-DSS-maskedLM,0.6224064542420025,0.0,0.27074703652469284,0.0,0.003414634146341464,3e-06,0.4856746316702561
['1QHa'],yonatanlou/BEREL-finetuned-DSS-maskedLM,0.5628931534345786,0.0,0.20539170255683367,0.0,0.016566133403269515,0.0,0.4275413415249183
['1QHa'],onlplab/alephbert-base,0.5886767322962093,0.0,0.2334946405093846,0.0,0.058574927027160745,0.300733,0.4101886486763404
['1QHa'],yonatanlou/dictabert-finetuned-DSS-maskedLM,0.569142463880977,0.0,0.23639860947356905,0.0,0.0,0.0,0.3938656090964791
['1QHa'],starr,0.3863259913960483,0.0,-0.03623699513406594,0.0,0.005776636713735558,0.0,0.022519077682582187
