silhouette,jaccard,dasgupta,clustering_accuracy,auc,ap,epoch,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
0.25755313,0.19133625619519634,0.8816712162690878,0.43914807302231235,0.9431259948180484,0.9295830614783103,1,1,50,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,9722
0.23329218,0.17820433980497233,0.8441928535398795,0.40872210953346855,0.9476645456718796,0.9267942307637878,2,1,50,300,100,cosine,0.001,0.99,dicta-il/BEREL,trigram,9722
0.24692175,0.1864144937034783,0.8710793750422816,0.422920892494929,0.915370243724538,0.8925618092745657,2,2,50,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf & trigram,13906
0.26428267,0.1720831365139348,0.880761897749697,0.41379310344827586,0.9708435178903362,0.9637130061242092,13,1,50,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,9722
0.25738847,0.137240092411587,0.8161268025885517,0.3509127789046653,0.972990442679246,0.9694641152390459,41,1,50,300,100,cosine,0.001,0.99,onlplab/alephbert-base,trigram,9722
0.25848266,0.1880609380034059,0.8456518857566282,0.42190669371196754,0.9510095976541886,0.9387118360115856,15,2,50,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & trigram,13906
0.26401183,0.1844650849415275,0.8732131869636945,0.4208924949290061,0.9410224060183532,0.929138280951114,1,1,50,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,9722
0.23791894,0.17641812343917232,0.8305719798338104,0.39553752535496955,0.9545405208638879,0.9418294791589523,1,1,50,300,100,cosine,0.001,0.99,dicta-il/dictabert,trigram,9722
0.25430772,0.187367926743367,0.86210612932421,0.4279918864097363,0.9278728347794458,0.9158586152424506,1,2,50,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & trigram,13906
0.26808593,0.1690174515897681,0.8795447737366623,0.4208924949290061,0.9544946721067439,0.9363227120829025,2,1,50,300,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf,9722
0.24913801,0.1789683549673369,0.83856605804122,0.40060851926977686,0.9309779098180604,0.9038448170793968,2,1,50,300,100,cosine,0.001,0.99,dicta-il/MsBERT,trigram,9722
0.28155202,0.17804168231318063,0.860749841342328,0.4249492900608519,0.9129677377697917,0.8877803381158365,2,2,50,300,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf & trigram,13906
0.26185575,0.18298440555105155,0.8696962795729238,0.4077079107505071,0.9330203299112997,0.91767389942381,4,1,50,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,9722
0.23215353,0.17486502699460107,0.8391802805929015,0.3995943204868154,0.9495224492485417,0.9342054998908654,2,1,50,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram,9722
0.25824544,0.19656920430886213,0.8738159816223088,0.4239350912778905,0.925476989394945,0.9087654275404682,2,2,50,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & trigram,13906
0.26246244,0.15736040609137056,0.8506873144897407,0.3945233265720081,0.9613445303824008,0.9405329386724757,10,1,50,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf,9722
0.25392464,0.13224175725853354,0.823866049460835,0.33874239350912777,0.9640961540960062,0.9591963511875679,31,1,50,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,trigram,9722
0.2747011,0.1446498142611217,0.8519952208308801,0.372210953346856,0.9427536088138293,0.9345744907213185,31,2,50,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf & trigram,13906
0.25699824,0.18673831686018616,0.8668289464404261,0.4178498985801217,0.9360939370623473,0.9275577798316226,1,1,50,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf,9722
0.27074087,0.12869129850261926,0.8166956339761811,0.3580121703853955,0.9384189139417084,0.9285909386794043,48,1,50,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,trigram,9722
0.26112562,0.1986163291487217,0.8419279946577791,0.42697768762677485,0.9247038823202174,0.907660417441943,1,2,50,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf & trigram,13906
0.25794652,0.1771181716833891,0.8870284416546463,0.4178498985801217,0.9500878326127102,0.9379761961198135,3,1,50,500,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,9722
0.25258687,0.15650287057547127,0.8322351120846859,0.39046653144016225,0.97162585628254,0.9679810801316817,46,1,50,500,100,cosine,0.001,0.99,dicta-il/BEREL,trigram,9722
0.24745233,0.19303454451199398,0.8769307767009457,0.422920892494929,0.9329182244971679,0.911528565785302,3,2,50,500,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf & trigram,13906
0.2671184,0.17701496765664101,0.8647281365653476,0.40466531440162273,0.9582522229479213,0.9490045806605487,14,1,50,500,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,9722
0.26718456,0.15176548967355097,0.8062195669183928,0.36815415821501013,0.9706475061217376,0.9662781701124291,43,1,50,500,100,cosine,0.001,0.99,onlplab/alephbert-base,trigram,9722
0.25240862,0.16998531840704717,0.8600695078952385,0.3975659229208925,0.9421538110179856,0.9296757206345732,17,2,50,500,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & trigram,13906
0.2566839,0.17491275873607726,0.886845488562831,0.4056795131845842,0.9193327116763108,0.9025768036006058,0,1,50,500,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,9722
0.2509908,0.17501058873358746,0.844207592317854,0.39655172413793105,0.9224003516647812,0.8968134311564371,0,1,50,500,100,cosine,0.001,0.99,dicta-il/dictabert,trigram,9722
0.25335842,0.1881508584294962,0.8864828932641075,0.4107505070993915,0.9010023723834225,0.8742533161930426,0,2,50,500,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & trigram,13906
0.2813165,0.1841228451397943,0.8740886490148393,0.4198782961460446,0.9566501614667644,0.9455623422177554,1,1,50,500,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf,9722
0.25301927,0.17458854509545754,0.8243492250518292,0.40466531440162273,0.9672715257031719,0.951331352922774,1,1,50,500,100,cosine,0.001,0.99,dicta-il/MsBERT,trigram,9722
0.28156307,0.20252928274767837,0.8690712699446087,0.4259634888438134,0.9429665427972976,0.9275775768207566,1,2,50,500,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf & trigram,13906
0.2924699,0.16808926612941683,0.8824096504061643,0.39655172413793105,0.9544617680719645,0.9484849072835085,45,1,50,500,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,9722
0.2588592,0.1347379843559253,0.8240561583361599,0.35294117647058826,0.9644888970783375,0.9583189061256062,41,1,50,500,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram,9722
0.25354862,0.1833844701439698,0.8654515115162326,0.4198782961460446,0.9320747470498483,0.9173903511439856,14,2,50,500,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & trigram,13906
0.29629108,0.15867017459937813,0.8717041710651188,0.3975659229208925,0.9611162229333632,0.9561736537360234,40,1,50,500,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf,9722
0.25487822,0.12208622086220862,0.8034253936620734,0.3448275862068966,0.9634280434888501,0.9586057513964995,33,1,50,500,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,trigram,9722
0.28106517,0.16959036374934278,0.8478054561847462,0.40162271805273836,0.9498787538337838,0.943540813989934,39,2,50,500,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf & trigram,13906
0.2607233,0.17962339325522933,0.848261503880048,0.4117647058823529,0.9360589752028846,0.9164110302692591,4,1,50,500,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf,9722
0.24316621,0.15082082345711526,0.8081624155425693,0.3793103448275862,0.9514978868838422,0.9356453522725156,16,1,50,500,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,trigram,9722
0.25251234,0.18821711234955277,0.8600217670709294,0.4239350912778905,0.9242863891929641,0.8944577038711468,3,2,50,500,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf & trigram,13906
