silhouette,jaccard,dasgupta,epoch,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
0.27457675,0.22247462827472267,0.8761647372919918,245,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,9313
0.26016796,0.2004062681369704,0.8277390210990779,209,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,trigram,9313
0.20353454,0.1621952577090059,0.7863311923429641,231,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,BOW-n_gram,9313
0.24205449,0.10281224548459733,0.687099416018496,235,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,starr,9313
0.29772526,0.20769770296335263,0.8657141303823601,214,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,9313
0.2816259,0.1817317663325268,0.8274166758669024,240,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,trigram,9313
0.23215285,0.141933829186971,0.7891507624185763,174,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,BOW-n_gram,9313
0.26489675,0.09637236723244426,0.6944607879133152,243,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,starr,9313
0.26717114,0.21256137479541734,0.8619114185333878,249,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,9313
0.24847957,0.19043583877072565,0.822836398419705,231,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram,9313
0.19773202,0.16442211583986532,0.7927264233233027,247,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,BOW-n_gram,9313
0.22376558,0.10551727370740167,0.6863145803161448,228,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,starr,9313
0.2851517,0.17959712230215827,0.809293201062587,244,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf,9313
0.27056384,0.17060887734054808,0.7996047247608817,242,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,trigram,9313
0.22553116,0.12881985051100828,0.756457551554538,239,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,BOW-n_gram,9313
0.24371915,0.08973811735757149,0.6526234637749825,237,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,starr,9313
