vectorizer,dasgupta_score,dasgupta_score_rand,max_dist_metric_mean,cv
trigram,0.5922296021423703,0.32450046468401494,0.04590659169865395,0
tfidf,0.6356198742550834,0.329460966542751,0.052458730406733975,0
bert,0.65394178079518,0.327676911842804,0.058280198964985486,0
starr,0.4727518997252884,0.3382708775889538,0.023587386874972284,0
trigram,0.597918798711442,0.3326047751814481,0.042987158645361685,1
tfidf,0.6925846650242244,0.33294416047087994,0.045461207390624314,1
bert,0.6484786246463119,0.3263016684368915,0.04769736658498152,1
starr,0.48896794751407113,0.3400754005133652,0.022177773119309165,1
trigram,0.5789816084913559,0.33341824880509846,0.0460219850774421,2
tfidf,0.6357980365173244,0.3274805275269961,0.03985315760507443,2
bert,0.6572388322409164,0.3336317821738361,0.050127366850935766,2
starr,0.4764988803895879,0.3365803128872368,0.02066111384704271,2
trigram,0.5664164297119835,0.3433851677288015,0.04651692260181804,3
tfidf,0.6280289965357363,0.3350410470879803,0.0414042905088243,3
bert,0.6775112113617899,0.3317229819437069,0.048548511783148986,3
starr,0.5110561301276848,0.3361073309435298,0.025265766831376733,3
trigram,0.5932306615352161,0.3368784851301116,0.041261207122251835,4
tfidf,0.6568984370368408,0.32594236811825095,0.03866991352359616,4
bert,0.7139076414442016,0.3391869689325545,0.062565687327202,4
starr,0.5003778888795094,0.33410642370331034,0.021577909162225562,4
