Category	Total_number	Number_in_PC	p_value	expected
God name	172	52	5.0453243447323715e-05	30.757738667873916
Quant	742	174	5.4573774532329367e-05	132.6874540207119
Conj	3388	360	1.0	605.8559221323071
Prep	4652	684	0.9999999999910627	831.8895365287759
partpas	69	43	3.3306690738754696e-16	12.338860279554071
partpf	34	4	0.8809132681900855	6.080018108765774
partpm	235	81	6.905138683066525e-10	42.02365457529285
partsf	67	6	0.9870487595628232	11.981212155509025
partsm	295	45	0.8988947705402242	52.75309829664422
